CustomerID,recency,frequency,monetary,r_score,f_score,m_score,segment
12346,325,1,77183.6,1,1,5,Lost
12347,1,7,4310.0,5,4,5,Champion
12348,74,4,1797.24,2,3,4,At Risk
12349,18,1,1757.55,4,1,4,New Customer
12350,309,1,334.4,1,1,2,Lost
12352,35,8,2506.04,3,4,5,Loyal Customer
12353,203,1,89.0,1,1,1,Lost
12354,231,1,1079.4,1,1,4,Lost
12355,213,1,459.4,1,1,2,Lost
12356,22,3,2811.43,4,2,5,New Customer
12357,32,1,6207.67,4,1,5,New Customer
12358,1,2,1168.06,5,1,4,New Customer
12359,57,4,6310.03,3,3,5,Loyal Customer
12360,51,3,2662.06,3,2,5,Potential Loyalist
12361,286,1,189.9,1,1,1,Lost
12362,2,10,5226.23,5,4,5,Champion
12363,109,2,552.0,2,1,3,Lost
12364,7,4,1313.1,5,3,4,Loyal Customer
12365,290,2,641.38,1,1,3,Lost
12367,3,1,168.9,5,1,1,New Customer
12370,50,4,3541.94,3,3,5,Loyal Customer
12371,44,2,1887.96,3,1,4,Potential Loyalist
12372,71,3,1298.04,3,2,4,Potential Loyalist
12373,310,1,364.6,1,1,2,Lost
12374,24,1,742.9300000000001,4,1,3,New Customer
12375,10,2,457.5,5,1,2,New Customer
12377,314,2,1628.12,1,1,4,Lost
12378,129,1,4008.62,2,1,5,Lost
12379,81,2,852.24,2,1,3,Lost
12380,21,4,2724.81,4,3,5,Loyal Customer
12381,4,5,1845.31,5,3,4,Loyal Customer
12383,184,5,1850.56,1,3,4,At Risk
12384,28,2,585.27,4,1,3,New Customer
12386,337,2,401.9,1,1,2,Lost
12388,15,6,2780.66,4,3,5,Loyal Customer
12390,79,1,549.84,2,1,3,Lost
12391,21,1,439.66,4,1,2,New Customer
12393,71,4,1582.6000000000001,3,3,4,Loyal Customer
12394,63,2,1272.48,3,1,4,Potential Loyalist
12395,18,12,3018.63,4,4,5,Champion
12397,35,2,2409.9,3,1,5,Potential Loyalist
12398,45,1,1635.6599999999999,3,1,4,Potential Loyalist
12399,118,4,1108.65,2,3,4,At Risk
12401,302,1,84.3,1,1,1,Lost
12402,322,1,225.6,1,1,1,Lost
12403,49,1,427.7,3,1,2,Potential Loyalist
12405,148,1,1710.39,2,1,4,Lost
12406,21,2,3415.3,4,1,5,New Customer
12407,49,5,1708.1200000000001,3,3,4,Loyal Customer
12408,32,5,2888.55,4,3,5,Loyal Customer
12409,78,3,11072.67,2,2,5,Lost
12410,308,2,693.3299999999999,1,1,3,Lost
12412,74,3,1226.88,2,2,4,Lost
12413,66,3,758.1,3,2,3,Potential Loyalist
12414,216,3,562.41,1,2,3,Lost
12415,23,21,124914.53,4,4,5,Champion
12417,2,9,3649.1,5,4,5,Champion
12418,112,1,668.58,2,1,3,Lost
12420,63,1,600.39,3,1,3,Potential Loyalist
12421,15,4,807.04,4,3,3,Loyal Customer
12422,95,3,803.5600000000001,2,2,3,Lost
12423,0,8,1859.31,5,4,4,Champion
12424,162,2,1760.96,2,1,4,Lost
12425,77,1,777.2,2,1,3,Lost
12426,194,1,582.73,1,1,3,Lost
12427,21,3,825.8,4,2,3,New Customer
12428,25,9,7956.46,4,4,5,Champion
12429,8,4,3750.4,5,3,5,Loyal Customer
12430,42,1,256.4,3,1,2,Potential Loyalist
12431,35,15,6419.95,3,4,5,Loyal Customer
12432,42,5,5059.32,3,3,5,Loyal Customer
12433,0,7,13375.87,5,4,5,Champion
12434,84,2,806.14,2,1,3,Lost
12435,79,2,7829.89,2,1,5,Lost
12436,99,1,509.01,2,1,3,Lost
12437,1,18,4951.41,5,4,5,Champion
12438,13,2,2906.85,4,1,5,New Customer
12441,366,1,173.55,1,1,1,Lost
12442,2,1,172.06,5,1,1,New Customer
12444,20,5,5005.46,4,3,5,Loyal Customer
12445,21,1,133.4,4,1,1,New Customer
12446,57,1,1002.3100000000001,3,1,4,Potential Loyalist
12447,242,1,476.49,1,1,2,Lost
12448,43,1,449.45,3,1,2,Potential Loyalist
12449,21,4,4067.29,4,3,5,Loyal Customer
12450,155,2,197.88,2,1,1,Lost
12451,10,5,9035.52,5,3,5,Loyal Customer
12452,16,2,430.57,4,1,2,New Customer
12453,133,1,707.09,2,1,3,Lost
12454,55,1,3528.34,3,1,5,Potential Loyalist
12455,72,6,2466.86,2,3,5,At Risk
12456,43,3,3181.04,3,2,5,Potential Loyalist
12457,65,7,2363.23,3,4,5,Loyal Customer
12458,70,2,947.4,3,1,4,Potential Loyalist
12461,93,2,826.88,2,1,3,Lost
12462,18,2,1189.59,4,1,4,New Customer
12463,52,4,1344.78,3,3,4,Loyal Customer
12464,9,8,1212.05,5,4,4,Champion
12465,16,2,742.1899999999999,4,1,3,New Customer
